GrantNumber;UseInspired_Comment;UseInspired_Inventor;UseInspired_LicenseType;UseInspired_Owner;UseInspired_PatentDecisionDate;UseInspired_PatentNumber;UseInspired_PatentOwnerDescription;UseInspired_PatentStatus;UseInspired_PriorityDate;UseInspired_ReviewerActivityType;UseInspired_Title;UseInspired_Type;UseInspired_Url;UseInspired_Year;UseInspiredId
157230;;Sailer, Martin;;Grant holder / project staff;;PCT EP2017 051716;Sailer, Martin;Pending;2017-01-27T00:00:00Z;;Invasion cell culture system for the use in drug discovery;Patent;https://www.switt.ch/adminall2/userfiles/technologien/641_top_ua17240_eckard_sailer.pdf;2017;CDDA8220-1D2A-40B9-A270-3D394FFD220D
156825;;;;;;;;;;;"collaboration with UCB on assessing compounds that target PMIX and PMX
 
";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;1365E10C-2615-4B23-B998-F1B325056D97
183336;;;;;;;;;;;swarm-CG;Software;https://github.com/GMPavanLab/Swarm-CG;2020;5DC981F4-DD70-4ED4-9430-18398BBD80FE
159686;;;;;;;;;;;HiD Imaging;Start-up;http://www.hidimaging.com/;2019;4DB4BB97-E703-4857-A99E-E51B31953F69
159744;;"Bertolo, Alessandro; Stoyanov, Jivko";;Other;;WO 2016/020719 A1;"EURORESEARCH S.R.L. [IT/IT]; SWISS PARAPLEGIC RESEARCH [CH/CH]";Pending;2016-02-11T00:00:00Z;;"Novel collagen microcarriers ";Patent;https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016020719&recNum=298&maxRec=2795029&office=&prevFilter=&sortOption=&queryString=&tab=PCT+Biblio;2016;72929D77-3500-472B-9125-E79DC5FFF7FE
130678;;;;Research institution;;;;;;;"Filtration- and centrifugation-free automatable methods for coating living cells and nanoparticles ";Other copyrights;;2011;15DD1B74-20F7-4E43-819C-97EC07FCED8F
159301;;"Bourban, Pierre-Etienne; Karami, Peyman; Moser, Christophe; Pioletti, Dominique";;Research institution;;PCT/EP2018/077045;EPFL;Pending;2018-10-04T00:00:00Z;;Cross-linkable polymer, hydrogel, and method of preparation thereof;Patent;;2018;C87EBC95-3B03-406B-953D-CC1006D38F0C
130678;;;;Grant holder / project staff;;PCT/EP2013/001931;;;2013-07-02T00:00:00Z;;PROCESS OF CARTILAGE REPAIR;Patent;;2013;C5411BFB-19B8-45B4-BC34-B4E9EABB9BCE
152803;;;;;;;;;;;"SimUVEx 2.0 ";Software;;2017;F51FBCEF-0F69-466C-815A-E2D00583A72A
166485;;;;;;;;;;Industry / private companies;"Expert advice to the Simulia The Living Heart Project - A Translational Research Initiative to Revolutionize Cardiovascular Science Through Realistic Simulation



";Expert/reviewer activity;https://www.3ds.com/products-services/simulia/solutions/life-sciences/the-living-heart-project/;2018;4DE32199-3B43-4977-BF98-325985A39EFB
